formatted_date,high,low,open,close,volume,adjclose
2015-04-13,2107.65,2092.33,2102.03,2092.43,2908420000,2092.43
2015-04-14,2098.62,2083.24,2092.28,2095.84,3301270000,2095.84
2015-04-15,2111.91,2097.82,2097.82,2106.63,4013760000,2106.63
2015-04-16,2111.3,2100.02,2105.96,2104.99,3434120000,2104.99
2015-04-17,2102.58,2072.37,2102.58,2081.18,3627600000,2081.18
2015-04-20,2103.94,2084.11,2084.11,2100.4,3000160000,2100.4
2015-04-21,2109.64,2094.38,2102.82,2097.29,3243410000,2097.29
2015-04-22,2109.98,2091.05,2098.27,2107.96,3348480000,2107.96
2015-04-23,2120.49,2103.19,2107.21,2112.93,3636670000,2112.93
2015-04-24,2120.92,2112.8,2112.8,2117.69,3375780000,2117.69
2015-04-27,2125.92,2107.04,2119.29,2108.92,3438750000,2108.92
2015-04-28,2116.04,2094.89,2108.35,2114.76,3546270000,2114.76
2015-04-29,2113.65,2097.41,2112.49,2106.85,4074970000,2106.85
2015-04-30,2105.52,2077.59,2105.52,2085.51,4509680000,2085.51
2015-05-01,2108.41,2087.38,2087.38,2108.29,3379390000,2108.29
2015-05-04,2120.95,2110.23,2110.23,2114.49,3091580000,2114.49
2015-05-05,2115.24,2088.46,2112.63,2089.46,3793950000,2089.46
2015-05-06,2098.42,2067.93,2091.26,2080.15,3792210000,2080.15
2015-05-07,2092.9,2074.99,2079.96,2088.0,3676640000,2088.0
2015-05-08,2117.66,2092.13,2092.13,2116.1,3399440000,2116.1
2015-05-11,2117.69,2104.58,2115.56,2105.33,2992670000,2105.33
2015-05-12,2105.06,2085.57,2102.87,2099.12,3139520000,2099.12
2015-05-13,2110.19,2096.04,2099.62,2098.48,3374260000,2098.48
2015-05-14,2121.45,2100.43,2100.43,2121.1,3225740000,2121.1
2015-05-15,2123.89,2116.81,2122.07,2122.73,3092080000,2122.73
2015-05-18,2131.78,2120.01,2121.3,2129.2,2888190000,2129.2
2015-05-19,2133.02,2124.5,2129.45,2127.83,3296030000,2127.83
2015-05-20,2134.72,2122.59,2127.79,2125.85,3025880000,2125.85
2015-05-21,2134.28,2122.95,2125.55,2130.82,3070460000,2130.82
2015-05-22,2132.15,2126.06,2130.36,2126.06,2571860000,2126.06
2015-05-26,2125.34,2099.18,2125.34,2104.2,3342130000,2104.2
